Date,DUK
2012-12-21,37.8875846862793
2012-12-24,37.928707122802734
2012-12-26,37.62916946411133
2012-12-27,37.417747497558594
2012-12-28,37.006614685058594
2012-12-31,37.4705810546875
2013-01-02,38.181251525878906
2013-01-03,38.09901428222656
2013-01-04,38.210601806640625
2013-01-07,38.02853775024414
2013-01-08,38.11663055419922
2013-01-09,38.181251525878906
2013-01-10,38.392677307128906
2013-01-11,38.580623626708984
2013-01-14,38.404422760009766
2013-01-15,38.792057037353516
2013-01-16,38.60411071777344
2013-01-17,38.77442169189453
2013-01-18,39.238399505615234
2013-01-22,39.53207015991211
2013-01-23,39.59080505371094
2013-01-24,39.819854736328125
2013-01-25,39.89033508300781
2013-01-28,39.720001220703125
2013-01-29,39.92556381225586
2013-01-30,40.195735931396484
2013-01-31,40.371917724609375
2013-02-01,40.4306526184082
2013-02-04,40.14287185668945
2013-02-05,40.45414733886719
2013-02-06,40.5892333984375
2013-02-07,40.548126220703125
2013-02-08,40.524620056152344
2013-02-11,40.606842041015625
2013-02-12,40.81828308105469
2013-02-13,40.86875915527344
2013-02-14,40.381813049316406
2013-02-15,40.41743850708008
2013-02-19,40.951900482177734
2013-02-20,40.88657760620117
2013-02-21,40.87469482421875
2013-02-22,41.24882888793945
2013-02-25,41.04098129272461
2013-02-26,41.32601547241211
2013-02-27,41.646705627441406
2013-02-28,41.124114990234375
2013-03-01,41.124114990234375
2013-03-04,41.397281646728516
2013-03-05,41.66452407836914
2013-03-06,41.49824523925781
2013-03-07,41.30227279663086
2013-03-08,41.35572052001953
2013-03-11,41.444793701171875
2013-03-12,41.296321868896484
2013-03-13,41.51605987548828
2013-03-14,41.52792739868164
2013-03-15,41.53981399536133
2013-03-18,41.343849182128906
2013-03-19,41.51605987548828
2013-03-20,41.807044982910156
2013-03-21,41.72390365600586
2013-03-22,41.93174362182617
2013-03-25,41.73577880859375
2013-03-26,42.13365173339844
2013-03-27,42.590938568115234
2013-03-28,43.107566833496094
2013-04-01,42.94723129272461
2013-04-02,43.1253776550293
2013-04-03,42.58497619628906
2013-04-04,42.63249206542969
2013-04-05,42.786888122558594
2013-04-08,43.35697937011719
2013-04-09,43.1253776550293
2013-04-10,43.22634506225586
2013-04-11,43.45199966430664
2013-04-12,43.33323669433594
2013-04-15,42.92942810058594
2013-04-16,43.689544677734375
2013-04-17,43.440120697021484
2013-04-18,43.49358367919922
2013-04-19,44.14681625366211
2013-04-22,44.11117172241211
2013-04-23,44.18838882446289
2013-04-24,44.372474670410156
2013-04-25,44.621883392333984
2013-04-26,44.45560073852539
2013-04-29,44.657508850097656
2013-04-30,44.657508850097656
2013-05-01,44.47343063354492
2013-05-02,44.40810775756836
2013-05-03,44.224002838134766
2013-05-06,43.29167175292969
2013-05-07,43.76673126220703
2013-05-08,43.297607421875
2013-05-09,42.786888122558594
