Date,CI
2014-08-28,86.8308334350586
2014-08-29,86.8951644897461
2014-09-02,86.52769470214844
2014-09-03,87.03292846679688
2014-09-04,87.712646484375
2014-09-05,88.53934478759766
2014-09-08,88.19031524658203
2014-09-09,88.16276550292969
2014-09-10,86.64713287353516
2014-09-11,85.74694061279297
2014-09-12,84.80086517333984
2014-09-15,84.06600189208984
2014-09-16,85.64592742919922
2014-09-17,86.42669677734375
2014-09-18,87.45548248291016
2014-09-19,87.49219512939453
2014-09-22,86.98699951171875
2014-09-23,85.4070816040039
2014-09-24,87.09723663330078
2014-09-25,84.24971008300781
2014-09-26,84.34156036376953
2014-09-29,83.8088150024414
2014-09-30,83.3036117553711
2014-10-01,82.15540313720703
2014-10-02,81.49405670166016
2014-10-03,83.21173095703125
2014-10-06,81.92578125
2014-10-07,81.85227966308594
2014-10-08,83.97415161132812
2014-10-09,82.65143585205078
2014-10-10,83.21173095703125
2014-10-13,82.37588500976562
2014-10-14,80.56631469726562
2014-10-15,81.50324249267578
2014-10-16,80.86026763916016
2014-10-17,81.78799438476562
2014-10-20,83.22091674804688
2014-10-21,85.1590805053711
2014-10-22,84.001708984375
2014-10-23,84.75492095947266
2014-10-24,85.26931762695312
2014-10-27,85.10395812988281
2014-10-28,85.03966522216797
2014-10-29,86.34400177001953
2014-10-30,89.19154357910156
2014-10-31,91.46034240722656
2014-11-03,91.6073226928711
2014-11-04,92.79222869873047
2014-11-05,91.85533142089844
2014-11-06,93.086181640625
2014-11-07,90.92759704589844
2014-11-10,93.03109741210938
2014-11-11,93.81187438964844
2014-11-12,93.79347229003906
2014-11-13,94.3446044921875
2014-11-14,93.60060119628906
2014-11-17,94.55587768554688
2014-11-18,95.48362731933594
2014-11-19,94.27113342285156
2014-11-20,93.88532257080078
2014-11-21,93.85777282714844
2014-11-24,94.05986785888672
2014-11-25,93.60060119628906
2014-11-26,93.70164489746094
2014-11-28,94.50996398925781
2014-12-01,94.20684051513672
2014-12-02,94.96003723144531
2014-12-03,95.55709838867188
2014-12-04,94.78553009033203
2014-12-05,96.18172454833984
2014-12-08,96.33788299560547
2014-12-09,95.88776397705078
2014-12-10,94.05986785888672
2014-12-11,94.08743286132812
2014-12-12,93.44444274902344
2014-12-15,93.09539031982422
2014-12-16,91.82777404785156
2014-12-17,93.32500457763672
2014-12-18,96.06231689453125
2014-12-19,96.01637268066406
2014-12-22,96.63180541992188
2014-12-23,95.81430053710938
2014-12-24,95.7408218383789
2014-12-26,95.52953338623047
2014-12-29,95.63980102539062
2014-12-30,95.85102844238281
2014-12-31,94.52832794189453
2015-01-02,94.45484161376953
2015-01-05,92.8289794921875
2015-01-06,93.19641876220703
2015-01-07,95.38257598876953
2015-01-08,100.24172973632812
2015-01-09,99.2037582397461
2015-01-12,97.53197479248047
2015-01-13,98.1290512084961
2015-01-14,98.68936920166016
2015-01-15,98.15658569335938
2015-01-16,99.10270690917969
2015-01-20,99.62628173828125
2015-01-21,101.16026306152344
2015-01-22,103.0433120727539
2015-01-23,101.01331329345703
2015-01-26,100.4989242553711
2015-01-27,99.96617126464844
2015-01-28,99.84674835205078
2015-01-29,100.69180297851562
2015-01-30,98.1290512084961
2015-02-02,99.09354400634766
2015-02-03,99.84674835205078
2015-02-04,101.1327133178711
2015-02-05,103.08007049560547
2015-02-06,102.60240173339844
2015-02-09,101.97779083251953
2015-02-10,104.43952178955078
2015-02-11,105.69792175292969
2015-02-12,105.6152572631836
2015-02-13,105.14679718017578
2015-02-17,106.07454681396484
2015-02-18,106.56137084960938
2015-02-19,106.7267074584961
2015-02-20,108.88530731201172
2015-02-23,111.50318908691406
2015-02-24,110.92449951171875
2015-02-25,111.310302734375
2015-02-26,111.68689727783203
2015-02-27,111.72362518310547
2015-03-02,112.50440216064453
2015-03-03,111.2459945678711
2015-03-04,111.93489837646484
2015-03-05,112.5319595336914
2015-03-06,110.74996185302734
2015-03-09,112.07268524169922
2015-03-10,110.08795928955078
2015-03-11,110.67604064941406
2015-03-12,112.78939819335938
2015-03-13,112.91805267333984
2015-03-16,114.86602020263672
2015-03-17,114.718994140625
2015-03-18,117.14476013183594
2015-03-19,117.70528411865234
2015-03-20,117.9625244140625
2015-03-23,117.99930572509766
2015-03-24,119.05597686767578
2015-03-25,116.61184692382812
2015-03-26,115.96864318847656
2015-03-27,118.51386260986328
