Date,Close,Volume
2017-08-14,91.3128890991211,2687700
2017-08-15,91.23163604736328,1702400
2017-08-16,91.25872802734375,2034100
2017-08-17,88.7756576538086,4479400
2017-08-18,95.63789367675781,8925800
2017-08-21,96.1435546875,3541900
2017-08-22,94.996826171875,4659500
2017-08-23,94.31059265136719,3201200
2017-08-24,95.71916198730469,2511000
2017-08-25,96.16160583496094,3170200
2017-08-28,95.67402648925781,3841500
2017-08-29,95.74649810791016,1826500
2017-08-30,95.71023559570312,1805000
2017-08-31,96.91502380371094,2085000
2017-09-01,97.76649475097656,2360600
2017-09-05,97.78459930419922,1632600
2017-09-06,97.89330291748047,1520400
2017-09-07,98.03825378417969,1467900
2017-09-08,98.56362915039062,1387900
2017-09-11,98.50021362304688,2548000
2017-09-12,98.6451644897461,2438400
2017-09-13,99.33361053466797,1302600
2017-09-14,99.650634765625,1227900
2017-09-15,99.36077117919922,1896800
2017-09-18,99.88615417480469,952300
2017-09-19,99.95862579345703,1061900
2017-09-20,99.84989929199219,1438200
2017-09-21,98.05636596679688,1402700
2017-09-22,97.4494400024414,2173300
2017-09-25,97.81177520751953,2025000
2017-09-26,97.79367065429688,2833200
2017-09-27,98.30094909667969,1231000
2017-09-28,96.33527374267578,2542200
2017-09-29,97.68498229980469,2531100
2017-10-02,98.01106262207031,1151800
2017-10-03,98.2375259399414,1316900
2017-10-04,99.58724212646484,1864600
2017-10-05,99.6596908569336,1082000
2017-10-06,99.40605163574219,1212000
2017-10-09,99.3064193725586,1228200
2017-10-10,99.27017974853516,852100
2017-10-11,99.39698791503906,1030600
2017-10-12,99.17958068847656,1799900
2017-10-13,100.54740905761719,1676300
2017-10-16,100.80104064941406,1243400
2017-10-17,100.10355377197266,1238900
2017-10-18,99.62345123291016,1447700
2017-10-19,99.36981964111328,1822300
2017-10-20,98.5545654296875,1927100
2017-10-23,98.79914093017578,1260200
2017-10-24,99.85896301269531,1351000
2017-10-25,100.65613555908203,1948600
2017-10-26,101.26301574707031,1639500
2017-10-27,101.33547973632812,1644100
2017-10-30,100.41153717041016,1838300
2017-10-31,101.28112030029297,2255900
2017-11-01,110.62026977539062,7620700
2017-11-02,108.83576202392578,4197600
2017-11-03,110.2488784790039,2219300
2017-11-06,109.71443176269531,1331300
2017-11-07,110.7108383178711,1299200
2017-11-08,111.48987579345703,2227900
2017-11-09,112.12395477294922,1855300
2017-11-10,112.87578582763672,1859200
2017-11-13,114.42474365234375,2035000
2017-11-14,114.15300750732422,1431800
2017-11-15,112.87578582763672,1392200
2017-11-16,113.80878448486328,1444800
2017-11-17,112.94823455810547,2215300
2017-11-20,113.39210510253906,1674000
2017-11-21,113.68196868896484,1889400
2017-11-22,113.98994445800781,1561000
2017-11-24,114.30701446533203,870700
2017-11-27,113.36492919921875,1593000
2017-11-28,113.50985717773438,2022900
2017-11-29,112.60126495361328,2575000
2017-11-30,113.41899871826172,2857500
2017-12-01,113.36448669433594,1703300
2017-12-04,113.88240051269531,1541900
2017-12-05,113.11918640136719,2491700
2017-12-06,113.09193420410156,1902800
2017-12-07,113.73703002929688,1635700
2017-12-08,114.1458740234375,1788500
2017-12-11,114.00049591064453,1322300
2017-12-12,113.52803802490234,1609200
2017-12-13,116.25379943847656,2379600
2017-12-14,116.12659454345703,1588900
2017-12-15,117.77115631103516,2777800
2017-12-18,117.56217193603516,1693900
2017-12-19,116.15385437011719,1980300
2017-12-20,116.01757049560547,1143000
2017-12-21,115.91763305664062,827800
2017-12-22,116.07207489013672,747000
2017-12-26,117.071533203125,491500
2017-12-27,116.07207489013672,613800
2017-12-28,116.19930267333984,794100
2017-12-29,115.60869598388672,805100
2018-01-02,115.9267349243164,1288900
2018-01-03,117.77115631103516,2121200
2018-01-04,118.32536315917969,1904300
2018-01-05,118.1073226928711,1572000
2018-01-08,118.99775695800781,967900
